name,recommend_time,City
Universal Studios Hollywood,720,Los Angeles
OUE Skyspace LA,60,Los Angeles
Hollywood Walk Of Fame HQ,60,Los Angeles
The Aquarium of the Pacific,60,Los Angeles
Disneyland Park,1440,Los Angeles
Santa Monica Beach,60,Los Angeles
Six Flags Magic Mountain,1440,Los Angeles
The Getty,120,Los Angeles
Griffith Observatory,60,Los Angeles
Warner Bros Studio Gift Store,720,Los Angeles
California State Route 1,,Los Angeles
Beverly Hills,120,Los Angeles
Natural History Museum of Los Angeles,120,Los Angeles
Hollywood,1440,Los Angeles
The Wizarding World Of Harry Potter,720,Los Angeles
Waterworld 1995,60,Los Angeles
Crypto.com Arena,60,Los Angeles
TCL Chinese Theatre,20,Los Angeles
Los Angeles County Museum of Art,60,Los Angeles
Little Tokyo,120,Los Angeles
Disney California Adventure Park,1440,Los Angeles
The Aquarium of the Pacific,60,Los Angeles
Sunset Boulevard,120,Los Angeles
Hollywood Sign,60,Los Angeles
Angels Flight Railway,60,Los Angeles
University of Southern California,,Los Angeles
Laguna Beach,60,Los Angeles
Route 66,,Los Angeles
Santa Monica,1440,Los Angeles
Griffith Park,120,Los Angeles
Long Beach,1440,Los Angeles
Waterworld 1995,60,Los Angeles
Studio Tour,60,Los Angeles
Walt Disney Concert Hall,120,Los Angeles
The Broad,120,Los Angeles
Rodeo Drive,60,Los Angeles
Chinatown,60,Los Angeles
Olvera Street,60,Los Angeles
The Getty Villa,120,Los Angeles
Bradbury Building,60,Los Angeles
Hollywood & Highland,120,Los Angeles
Melrose Avenue,120,Los Angeles
The Grammy Museum,60,Los Angeles
Los Angeles City Hall,30,Los Angeles
Huntington Beach,60,Los Angeles
Hollywood Hills,720,Los Angeles
Battleship Iowa Museum,120,Los Angeles
California Science Center,120,Los Angeles
Malibu Lagoon State Beach,,Los Angeles
SeaWorld San Diego,1440,San Diego
USS Midway Museum,120,San Diego
Port of San Diego,180,San Diego
San Diego Zoo Safari Park,60,San Diego
Old Town,1440,San Diego
San Diego Zoo,1440,San Diego
San Diego Balboa Park,,San Diego
LEGOLAND California,180,San Diego
La Jolla Shores,60,San Diego
Victory Kiss,,San Diego
Coronado Island,720,San Diego
San Diego Air & Space Museum,120,San Diego
San Diego California Temple,,San Diego
La Jolla Cove,180,San Diego
Sunset Cliffs Natural Park,120,San Diego
Seaport Village,90,San Diego
Old Town San Diego State Historic Park,120,San Diego
San Diego鈥揅oronado Bridge,,San Diego
San Diego Natural History Museum,120,San Diego
Maritime Museum of San Diego,120,San Diego
Torrey Pines State Natural Reserve,,San Diego
Petco Park,60,San Diego
Torrey Pines Gliderport,60,San Diego
Point Loma,180,San Diego
The San Diego Museum of Art,120,San Diego
San Diego Natural History Museum,120,San Diego
Mission Beach,,San Diego
Windansea Beach,60,San Diego
Ocean Beach,180,San Diego
Black's Beach,,San Diego
California Academy of Sciences,180,San Francisco
Golden Gate Bridge,60,San Francisco
Fisherman's Wharf,180,San Francisco
Golden Gate Park,120,San Francisco
Lombard Street,60,San Francisco
The Palace Of Fine Arts,60,San Francisco
San Francisco Museum of Modern Art,120,San Francisco
Alcatraz Island,240,San Francisco
Union Square,180,San Francisco
PIER 39,120,San Francisco
Chinatown,240,San Francisco
Twin Peaks,120,San Francisco
de Young Museum,120,San Francisco
Silicon Valley,,San Francisco
San Francisco City Hall,60,San Francisco
Japantown,120,San Francisco
Cable Cars,,San Francisco
Big Sur,720,San Francisco
Japanese Tea Garden,60,San Francisco
Stanford University,120,San Francisco
Exploratorium,60,San Francisco
Nob Hill,120,San Francisco
Japanese Tea Garden,60,San Francisco
Cathedral of Saint Mary of the Assumption,,San Francisco
Painted Ladies - Alamo Square,120,San Francisco
San Francisco 鈥?Oakland Bay Bridge,60,San Francisco
de Young Museum,120,San Francisco
The Walt Disney Family Museum,120,San Francisco
Asian Art Museum,60,San Francisco
Coit Tower,120,San Francisco